,id,city_id,type,kr_name,loc_name,title,content,latitude,longitude,address,contact,homepage,how_to_go,available_time,score,created_at,updated_at,coordinate,title_img,facilities,atmosphere
0,1,3,4,ｻﾞﾐｯｷｰｶｰﾙﾄﾝ井尻,ｻﾞﾐｯｷｰｶｰﾙﾄﾝ井尻,ｻﾞﾐｯｷｰｶｰﾙﾄﾝ井尻,accommodation,130.4412774,33.5510726,,,,대중교통,체크인 시간: 오후 3:00,2.8,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xd8.\xc8\xf1\x1eN`@`\\\x05\x8c\x89\xc6@@',b3b67f59-76b5-4e4e-9cad-e336ce5f3951.jpg,[],[]
1,2,3,4,Mac&Sun Samp.Inn,三箱院 / Samp.Inn,Mac&Sun Samp.Inn,accommodation,130.449413,33.5531704,,,,대중교통,체크인 시간: 오후 5:00,4.9,2025-03-06 15:51:14,,"b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xb6,_\x97aN`@\xc0\x8e\xa4I\xce\xc6@@'",7f908d22-99f6-4cff-838f-ae0af4cf2c1e.jpg,"['무료 Wi-Fi', '조식 포함', '무료 주차', '휠체어 사용 가능', '수영장', '비즈니스 센터', '애완동물 허용', '유아 동반 가능', '음식점', '공항 셔틀 서비스', '피트니스 센터', '금연']",
2,3,3,4,그린 리치 호텔 니시테츠 오하시 에키마에,グリーンリッチホテル西鉄大橋駅前,그린 리치 호텔 니시테츠 오하시 에키마에,"이 실용적인 호텔은 오하시역에서 도보 1분, 후쿠오카시 동물원에서 4km, 후쿠오카 성터에서 6km 거리에 있습니다.
카펫이 깔린 소박한 객실과 스위트룸에 무료 Wi-Fi, 평면 TV, 미니 냉장고, 객실 내 욕실, 차 및 커피 용품이 구비되어 있습니다. 일부 객실에는 휴식 공간 또는 월풀 욕조가 있습니다.
조식과 마사지 서비스를 이용할 수 있습니다.",130.4258902,33.5590555,"일본 〒815-0033 Fukuoka, Minami Ward, Ohashi, 1 Chome−7−15 玉屋大橋ビル 3F ",+81 92-552-4400,https://greenrichhotels.jp/ohhashi/,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 11:00",3.7,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xfb\x15|\xe4\xa0M`@\x10\x93p!\x8f\xc7@@',c38330e4-5851-45ba-8cec-966a50142c85.jpg,"['무료 Wi-Fi', '유료 아침식사', '무료 주차', '수영장', '에어컨', '세탁 서비스', '애완동물 허용', '음식점', '공항 셔틀 서비스', '피트니스 센터']",
3,4,3,4,후지노엔,富士の苑,후지노엔,"나카강을 마주 보고 있는 이 편안한 분위기의 온천 호텔은 오하시역에서 2km, 캐널 시티 하카타 쇼핑 및 엔터테인먼트 단지에서 6km 거리에 있습니다.
다다미가 깔린 깔끔한 객실에 바닥에 깔 수 있는 요와 평면 TV가 구비되어 있습니다.
레스토랑에서는 도시 전망을 감상할 수 있습니다. 온천, 천연 온천수를 사용하는 목욕탕, 사우나, 실내외 공간이 마련되어 있습니다. 기타 편의시설로는 골프 연습장과 노래방이 있습니다. 주차장을 이용할 수 있으며 조식이 유료로 제공됩니다.",130.4320774,33.5486547,"3 Chome-19-7 Miyake, Minami Ward, Fukuoka, 811-1344 일본 ",+81 92-551-4126,http://www.fujinoen.co.jp/,대중교통,"체크인 시간: 오후 4:00
체크아웃 시간: 오전 10:00",4.0,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xe7\xca\xfb\x93\xd3M`@\xfa\xa54Q:\xc6@@',add014e0-4658-4c7d-a9b0-2c759480f92d.jpg,"['무료 Wi-Fi', '유료 아침식사', '무료 주차', '수영장', '에어컨', '애완동물 허용', '음식점', '공항 셔틀 서비스', '피트니스 센터', '골프장']",
4,5,3,4,ピアクレストひまわり館,ピアクレストひまわり館,ピアクレストひまわり館,accommodation,130.4411497,33.5488905,"2 Chome-18-5 Yokote, Minami Ward, Fukuoka, 811-1311 일본 ",+81 92-584-2129,http://piahimawarikan2929.wixsite.com/himawari,대중교통,체크인 시간: 오후 3:00,2.8,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00}\xc4\xf9\xe5\x1dN`@\xe4J=\x0bB\xc6@@',7845d7dd-7b6a-4693-abfa-03462ea118d9.jpg,"['무료 Wi-Fi', '조식 포함', '수영장', '에어컨', '애완동물 허용', '음식점', '공항 셔틀 서비스', '피트니스 센터']",
5,6,3,4,博多温泉 元湯,博多温泉 元湯,博多温泉 元湯,accommodation,130.4360841,33.5470891,"3 Chome-6-18 Yokote, Minami Ward, Fukuoka, 811-1311 일본 ",+81 92-591-6713,,대중교통,체크인 시간: 오후 3:00,4.3,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xc7y\xa4f\xf4M`@\xc1?\x00\x04\x07\xc6@@',5f1f2495-4d70-4dc2-bafc-af0ef84a33d3.jpg,"['무료 Wi-Fi', '조식 포함', '수영장', '음식점', '피트니스 센터']",
6,7,3,4,Hotel Suihoukaku,萃豊閣ホテル(SUIHOKAKU HOTEL),Hotel Suihoukaku,"캐주얼한 식당가에 자리한 이 깔끔한 호텔은 미나미후쿠오카역에서 도보 4분, 쇼핑 및 엔터테인먼트 단지인 캐널 시티 하카타에서 12km 거리에 있습니다.
깔끔한 객실에 인터넷, 평면 TV, 미니 냉장고, 차를 끓일 수 있는 도구가 구비되어 있습니다. 객실 내 마사지 서비스는 유료로 이용할 수 있습니다.
편의시설로는 온천수를 사용하는 남녀 구분된 실내 대중탕과 사우나가 있습니다. 코인 세탁실이 마련되어 있습니다.",130.460882,33.5439316,"3 Chome-5-25 Kotobukimachi, Hakata Ward, Fukuoka, 812-0884 일본 ",+81 92-587-7771,https://suihokaku.jp/suihokaku-hotel/,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 10:00",3.6,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x15\xaa\x9b\x8b\xbfN`@g\xa1\xf8\x8c\x9f\xc5@@',8cfe2a0d-f1b5-4be8-933a-fb2e95adfb77.jpg,"['무료 Wi-Fi', '유료 아침식사', '유료 주차', '휠체어 사용 가능', '수영장', '에어컨', '비즈니스 센터', '애완동물 허용', '음식점', '공항 셔틀 서비스', '피트니스 센터']",
7,8,3,4,善き羊飼いの舎（いえ）,善き羊飼いの舎（いえ）,善き羊飼いの舎（いえ）,accommodation,130.4533005,33.5697051,"3 Chome-11-52 Nishitsukiguma, Hakata Ward, Fukuoka, 812-0857 일본 ",+81 90-3194-7110,,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 10:00",4.5,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00V\xd8\x0cp\x81N`@\xa5n\xc2\x18\xec\xc8@@',d97af9b7-6aa1-498f-8d92-9b164b331bf2.jpg,"['무료 Wi-Fi', '조식 포함', '무료 주차', '수영장', '에어컨', '애완동물 허용', '유아 동반 가능', '음식점', '공항 셔틀 서비스', '피트니스 센터', '금연']",
8,9,3,4,Leo Palace Morooka 2 By Arua-Ru,Leo Palace Morooka 2 By Arua-Ru,Leo Palace Morooka 2 By Arua-Ru,accommodation,130.4443392,33.5599387,,,,대중교통,,0.0,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x96\x8a\xd7\x068N`@\xe3!B\x12\xac\xc7@@',b36766c6-0421-4aa5-83e8-4a79d2a899d4.jpg,[],[]
9,10,3,4,미나미 후쿠오카 그린 호텔,南福岡グリーンホテル,미나미 후쿠오카 그린 호텔,"캐주얼한 레스토랑이 모여 있는 상업 지구에 자리한 이 소박한 호텔은 미나미후쿠오카역에서 도보 3분, 가스가 공원에서 3km, 쇼핑과 엔터테인먼트를 즐기기 좋은 캐널 시티 하카타에서 12km 거리에 있습니다.
깔끔하게 꾸민 아늑한 객실에 Wi-Fi, 평면 TV, 미니 냉장고가 구비되어 있습니다.
조식과 중식은 깔끔한 로비 식당에서 유료로 제공됩니다. 코인 세탁실과 마사지 서비스도 이용 가능합니다. 주차는 유료입니다.",130.4617111,33.5435209,"3 Chome-5-13 Kotobukimachi, Hakata Ward, Fukuoka, 812-0884 일본 ",+81 92-593-0007,https://suihokaku.jp/minami-fukuoka-green-hotel/,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 10:00",3.6,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00hV[V\xc6N`@\xa3\x18\xc5\x17\x92\xc5@@',5ed8f62f-922d-4a51-86a6-90f7962718cd.jpg,"['무료 Wi-Fi', '유료 아침식사', '유료 주차', '휠체어 사용 가능', '수영장', '에어컨', '비즈니스 센터', '애완동물 허용', '음식점', '공항 셔틀 서비스', '피트니스 센터', '금연']",
